No, Level, Date, Time, Text
1, INFO, 22 March 2020, 8:51 AM, :.main: *************** RSVP Agent started ***************, 
2, INFO, 22 March 2020, 8:51 AM, :...locate_configFile: Specified configuration file: /u/user10/rsvpd1.conf, 
3, INFO, 22 March 2020, 8:51 AM, :..settcpimage: Associate with TCP/IP image name = TCPCS, 
4, INFO, 22 March 2020, 8:51 AM, :..reg_process: registering process with the system, 
5, INFO, 22 March 2020, 8:51 AM, :..reg_process: attempt OS/390 registration, 
6, INFO, 22 March 2020, 8:51 AM, :..reg_process: return from registration rc=0, 
7, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #1, interface TR1 has address 9.37.65.139, ifidx 1, 
8, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #2, interface LINK11 has address 9.67.100.1, ifidx 2, 
9, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #3, interface LINK12 has address 9.67.101.1, ifidx 3, 
10, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #4, interface CTCD0 has address 9.67.116.98, ifidx 4, 
11, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #5, interface CTCD2 has address 9.67.117.98, ifidx 5, 
12, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #6, interface LOOPBACK has address 127.0.0.1, ifidx 0, 
13, INFO, 22 March 2020, 8:51 AM, :...mailbox_register: mailbox allocated for timer, 
14, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
15, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
16, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
17, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
18, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
19, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
20, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
21, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
22, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
23, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
24, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
25, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
26, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
27, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
28, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
29, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
30, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
31, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
32, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
33, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
34, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
35, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
36, INFO, 22 March 2020, 8:51 AM, :.....mailbox_register: no mailbox necessary for forward, 
37, INFO, 22 March 2020, 8:51 AM, :......mailslot_create: creating mailslot for route engine - informational socket, 
38, INFO, 22 March 2020, 8:51 AM, :.....mailbox_register: mailbox allocated for route, 
39, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating socket for traffic control module, 
40, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: no mailbox necessary for traffic-control, 
41, INFO, 22 March 2020, 8:51 AM, :..mailbox_register: mailbox allocated for terminate, 
42, INFO, 22 March 2020, 8:51 AM, :...mailslot_create: creating mailslot for dump, 
43, INFO, 22 March 2020, 8:51 AM, :..mailbox_register: mailbox allocated for dump, 
44, INFO, 22 March 2020, 8:51 AM, :...mailslot_create: creating mailslot for (broken) pipe, 
45, INFO, 22 March 2020, 8:51 AM, :..mailbox_register: mailbox allocated for pipe, 
46, INFO, 22 March 2020, 8:51 AM, :.main: rsvpd initialization complete, 
47, INFO, 22 March 2020, 8:52 AM, :......rsvp_api_open: accepted a new connection for rapi, 
48, INFO, 22 March 2020, 8:52 AM, :.......mailbox_register: mailbox allocated for mailbox, 
49, INFO, 22 March 2020, 8:52 AM, :........router_forward_getOI: Ioctl to get route entry successful, 
50, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: papi_debug:  Entering, 
51, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0, 
52, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: papi_debug:  Exiting, 
53, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: APIInitialize:  Entering, 
54, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: open_socket:  Entering, 
55, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: open_socket:  Exiting, 
56, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: APIInitialize:  Exiting, 
57, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: RegisterWithPolicyAPI:  Entering, 
58, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: RegisterWithPolicyAPI:  Writing to socket = 22, 
59, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: ReadBuffer:  Entering, 
60, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: RegisterWithPolicyAPI:  Exiting, 
61, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: Policy API initialized, 
62, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindActionName:  Entering, 
63, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Entering, 
64, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Exiting, 
65, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindActionName:  Exiting, 
66, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: found action name CLCat2 for, 
67, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Entering, 
68, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Entering, 
69, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Exiting, 
70, INFO, 22 March 2020, 8:51 AM, :.main: *************** RSVP Agent started ***************, 
71, INFO, 22 March 2020, 8:51 AM, :...locate_configFile: Specified configuration file: /u/user10/rsvpd1.conf, 
72, INFO, 22 March 2020, 8:51 AM, :.main: Using log level 511, 
73, INFO, 22 March 2020, 8:51 AM, :..settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket., 
74, INFO, 22 March 2020, 8:51 AM, :..reg_process: registering process with the system, 
75, INFO, 22 March 2020, 8:51 AM, :..reg_process: return from registration rc=0, 
76, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #0, interface VLINK1 has address 129.1.1.1, ifidx 0, 
77, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #1, interface TR1 has address 9.37.65.139, ifidx 1, 
78, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #3, interface LINK12 has address 9.67.101.1, ifidx 3, 
79, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #4, interface CTCD0 has address 9.67.116.98, ifidx 4, 
80, INFO, 22 March 2020, 8:51 AM, :...read_physical_netif: index #6, interface LOOPBACK has address 127.0.0.1, ifidx 0, 
81, INFO, 22 March 2020, 8:51 AM, :....mailslot_create: creating mailslot for timer, 
82, INFO, 22 March 2020, 8:51 AM, :...mailbox_register: mailbox allocated for timer, 
83, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
84, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
85, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
86, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
87, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
88, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
89, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
90, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
91, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
92, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
93, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
94, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp, 
95, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
96, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP, 
97, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating mailslot for RSVP via UDP, 
98, INFO, 22 March 2020, 8:51 AM, :....mailbox_register: mailbox allocated for rsvp-udp, 
99, INFO, 22 March 2020, 8:51 AM, :.....mailbox_register: no mailbox necessary for forward, 
100, INFO, 22 March 2020, 8:51 AM, :......mailslot_create: creating mailslot for route engine - informational socket, 
101, INFO, 22 March 2020, 8:51 AM, :.....mailslot_create: creating socket for traffic control module, 
102, INFO, 22 March 2020, 8:51 AM, :....mailslot_create: creating mailslot for RSVP client API, 
103, INFO, 22 March 2020, 8:51 AM, :...mailslot_create: creating mailslot for terminate, 
104, INFO, 22 March 2020, 8:51 AM, :...mailslot_create: creating mailslot for dump, 
105, INFO, 22 March 2020, 8:51 AM, :...mailslot_create: creating mailslot for (broken) pipe, 
106, INFO, 23 March 2020, 8:52 AM, :......rsvp_api_open: accepted a new connection for rapi, 
107, INFO, 23 March 2020, 8:52 AM, :.......mailbox_register: mailbox allocated for mailbox, 
108, INFO, 23 March 2020, 8:52 AM, :........router_forward_getOI: Ioctl to get route entry successful, 
109, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: papi_debug:  Entering, 
110, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0, 
111, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: papi_debug:  Exiting, 
112, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: APIInitialize:  Entering, 
113, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: open_socket:  Entering, 
114, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: open_socket:  Exiting, 
115, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: APIInitialize:  ApiHandle = 98BDFB0,  connfd = 22, 
116, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: APIInitialize:  Exiting, 
117, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: RegisterWithPolicyAPI:  Entering, 
118, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: RegisterWithPolicyAPI:  Writing to socket = 22, 
119, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: ReadBuffer:  Entering, 
120, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: ReadBuffer:  Exiting, 
121, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: RegisterWithPolicyAPI:  Exiting, 
122, INFO, 23 March 2020, 8:52 AM, :.......init_policyAPI: Policy API initialized, 
123, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindActionName:  Entering, 
124, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Entering, 
125, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Exiting, 
126, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindActionName:  Result = 0, 
127, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindActionName:  Exiting, 
128, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: found action name CLCat2 for, 
129, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Entering, 
130, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Entering, 
131, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: ReadBuffer:  Exiting, 
132, INFO, 23 March 2020, 8:52 AM, :......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Result = 0, 
